County,Site,Plot,Crop,Date,Experiment,AllLBs,Exotic,Native,Aphids,Other.aphid.predators
Delaware,1,1,Alfalfa,5/17/2010,1,11,5,6,192,0
Delaware,1,2,Alfalfa,5/17/2010,1,10,2,8,70,0
Delaware,1,3,Alfalfa,5/17/2010,1,8,2,6,297,0
Delaware,1,4,Alfalfa,5/17/2010,1,4,0,4,92,0
Delaware,1,1,Alfalfa,5/24/2010,1,1,1,0,209,0
Delaware,1,2,Alfalfa,5/24/2010,1,0,0,0,38,2
Delaware,1,3,Alfalfa,5/24/2010,1,0,0,0,16,0
Delaware,1,4,Alfalfa,5/24/2010,1,1,0,1,8,2
Delaware,1,1,Alfalfa,6/7/2010,1,0,0,0,13,1
Delaware,1,2,Alfalfa,6/7/2010,1,0,0,0,3,0
Delaware,1,3,Alfalfa,6/7/2010,,,,,,
Delaware,1,4,Alfalfa,6/7/2010,,,,,,
Delaware,1,1,Alfalfa,7/6/2010,,,,,,
Delaware,1,2,Alfalfa,7/6/2010,,,,,,
Delaware,1,3,Alfalfa,7/6/2010,2,0,0,0,7,1
Delaware,1,4,Alfalfa,7/6/2010,2,0,0,0,1,0
Delaware,1,1,Alfalfa,7/13/2010,2,0,0,0,15,3
Delaware,1,2,Alfalfa,7/13/2010,2,1,1,0,8,1
Delaware,1,3,Alfalfa,7/13/2010,2,0,0,0,52,0
Delaware,1,4,Alfalfa,7/13/2010,2,0,0,0,16,1
Delaware,1,1,Alfalfa,7/20/2010,2,2,2,0,384,4
Delaware,1,2,Alfalfa,7/20/2010,2,4,4,0,280,10
Delaware,1,3,Alfalfa,7/20/2010,2,8,8,0,327,1
Delaware,1,4,Alfalfa,7/20/2010,2,2,2,0,317,1
Delaware,1,1,Alfalfa,7/26/2010,2,0,0,0,299,26
Delaware,1,2,Alfalfa,7/26/2010,2,6,6,0,267,8
Delaware,1,3,Alfalfa,7/26/2010,2,4,3,1,381,22
Delaware,1,4,Alfalfa,7/26/2010,2,0,0,0,408,25
Delaware,2,1,CRP,5/17/2010,1,3,2,1,3,0
Delaware,2,2,CRP,5/17/2010,1,0,0,0,0,0
